fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name,flight_speed,lat,long,condition
2018-12-26,AA,AA_CODESHARE,AA,4908,PT,N620AE,4908,12223,HTS,"Ashland, WV",11057,CLT,"Charlotte, NC",729,1008.0,159.0,21.0,1029.0,1110.0,30.0,851,1140.0,169.0,0,,0,N,82,92.0,41.0,1,235,0.0,159.0,10.0,0.0,0.0,,,,,5.7317073170731705,38.3679651,-82.5596021,Partially cloudy
2019-01-30,UA,UA,UA,2193,UA,N68805,2193,13930,ORD,"Chicago, IL",11618,EWR,"Newark, NJ",908,1323.0,255.0,28.0,1351.0,1657.0,7.0,1213,1704.0,291.0,0,,0,N,125,161.0,126.0,1,719,0.0,232.0,36.0,0.0,23.0,,,,,5.7063492063492065,-17.7868996,127.6699982,Partially cloudy
2018-06-04,UA,UA,UA,1822,UA,N459UA,1822,11298,DFW,"Dallas/Fort Worth, TX",11292,DEN,"Denver, CO",916,938.0,22.0,42.0,1020.0,1054.0,5.0,1020,1059.0,39.0,0,,0,N,124,141.0,94.0,1,641,0.0,22.0,17.0,0.0,0.0,,,,,6.819148936170213,32.8965194,-97.0465221,"Rain, Partially cloudy"
2018-03-29,DL,DL_CODESHARE,DL,4773,OO,N889AS,4773,11433,DTW,"Detroit, MI",11267,DAY,"Dayton, OH",1624,2108.0,284.0,16.0,2124.0,2204.0,5.0,1725,2209.0,284.0,0,,0,N,61,61.0,40.0,1,166,0.0,149.0,0.0,0.0,135.0,,,,,4.15,42.2056991,-83.3529754,"Rain, Overcast"
2019-02-17,AA,AA,AA,2095,AA,N535UW,2095,13930,ORD,"Chicago, IL",14100,PHL,"Philadelphia, PA",1151,1236.0,45.0,100.0,1416.0,1646.0,13.0,1447,1659.0,132.0,0,,0,N,116,203.0,90.0,1,678,0.0,17.0,87.0,0.0,28.0,,,,,7.533333333333333,-17.7868996,127.6699982,"Rain, Partially cloudy"
2018-05-31,UA,UA,UA,719,UA,N75435,719,12264,IAD,"Washington, DC",12892,LAX,"Los Angeles, CA",1730,2002.0,152.0,90.0,2132.0,2329.0,10.0,2020,2339.0,199.0,0,,0,N,350,397.0,297.0,1,2288,0.0,152.0,47.0,0.0,0.0,,,,,7.703703703703703,38.9522663,-77.4534849,"Rain, Overcast"
2019-03-15,G4,G4,G4,2253,G4,309NV,2253,10257,ALB,"Albany, NY",14761,SFB,"Sanford, FL",1947,2003.0,16.0,9.0,2012.0,2253.0,7.0,2233,2300.0,27.0,0,,0,N,166,177.0,161.0,1,1049,0.0,16.0,11.0,0.0,0.0,,,,,6.515527950310559,51.1310763,-114.009652,Partially cloudy
2018-06-28,DL,DL_CODESHARE,DL,5175,9E,N8896A,5175,11433,DTW,"Detroit, MI",10785,BTV,"Burlington, VT",959,1100.0,61.0,12.0,1112.0,1232.0,4.0,1140,1236.0,56.0,0,,0,N,101,96.0,80.0,1,537,0.0,2.0,0.0,0.0,54.0,,,,,6.7125,42.2056991,-83.3529754,Partially cloudy
2018-11-25,AA,AA,AA,2264,AA,N990NN,2264,13930,ORD,"Chicago, IL",10721,BOS,"Boston, MA",1005,1012.0,7.0,37.0,1049.0,1337.0,6.0,1319,1343.0,24.0,0,,0,N,134,151.0,108.0,1,867,0.0,7.0,17.0,0.0,0.0,,,,,8.027777777777779,-17.7868996,127.6699982,"Rain, Partially cloudy"
2018-02-14,HA,HA_CODESHARE,HA,611,EM,N804HC,611,13347,MKK,"Hoolehua, HI",12173,HNL,"Honolulu, HI",800,1046.0,166.0,,,,,827,1137.0,190.0,0,,0,N,27,51.0,,1,54,3.0,24.0,0.0,0.0,163.0,,,,,,21.1526448,-157.0962161,"Rain, Partially cloudy"
2019-06-07,UA,UA,UA,1946,UA,N893UA,1946,11292,DEN,"Denver, CO",10800,BUR,"Burbank, CA",1900,2054.0,114.0,17.0,2111.0,2216.0,1.0,2032,2217.0,105.0,0,,0,N,152,143.0,125.0,1,850,0.0,20.0,0.0,0.0,85.0,,,,,6.8,12.1341164,-68.2761506,Partially cloudy
2018-06-15,AA,AA,AA,2421,AA,N872NN,2421,13303,MIA,"Miami, FL",14771,SFO,"San Francisco, CA",1950,2054.0,64.0,22.0,2116.0,2339.0,3.0,2254,2342.0,48.0,0,,0,N,364,348.0,323.0,1,2585,0.0,2.0,0.0,0.0,46.0,,,,,8.003095975232197,39.9914323,-84.2937295,Partially cloudy
2019-02-21,G4,G4,G4,516,G4,273NV,516,10466,AZA,"Phoenix, AZ",14783,SGF,"Springfield, MO",1653,1716.0,23.0,34.0,1750.0,2051.0,5.0,2024,2056.0,32.0,0,,0,N,151,160.0,121.0,1,1066,0.0,13.0,9.0,0.0,10.0,,,,,8.809917355371901,33.3059145,-111.6526441,"Rain, Partially cloudy"
2019-09-30,WN,WN,WN,127,WN,N7865A,127,14122,PIT,"Pittsburgh, PA",10821,BWI,"Baltimore, MD",620,641.0,21.0,11.0,652.0,734.0,3.0,720,737.0,17.0,0,,0,N,60,56.0,42.0,1,210,0.0,17.0,0.0,0.0,0.0,,,,,5.0,66.8861127,-157.1567626,Partially cloudy
2018-04-09,UA,UA_CODESHARE,UA,3813,ZW,N467AW,3813,14685,SAV,"Savannah, GA",13930,ORD,"Chicago, IL",1825,1908.0,43.0,10.0,1918.0,2017.0,13.0,2002,2030.0,28.0,0,,0,N,157,142.0,119.0,1,773,0.0,3.0,0.0,0.0,25.0,,,,,6.495798319327731,38.3790633,-88.382631,Overcast
2018-06-20,UA,UA_CODESHARE,UA,5816,OO,N959SW,5816,14685,SAV,"Savannah, GA",13930,ORD,"Chicago, IL",1840,1932.0,52.0,23.0,1955.0,2054.0,18.0,2016,2112.0,56.0,0,,0,N,156,160.0,119.0,1,773,0.0,49.0,4.0,0.0,3.0,,,,,6.495798319327731,38.3790633,-88.382631,"Rain, Partially cloudy"
2019-08-18,UA,UA_CODESHARE,UA,5296,OO,N793SK,5296,13342,MKE,"Milwaukee, WI",12266,IAH,"Houston, TX",825,846.0,21.0,21.0,907.0,1142.0,6.0,1107,1148.0,41.0,0,,0,N,162,182.0,155.0,1,984,0.0,21.0,20.0,0.0,0.0,,,,,6.348387096774194,42.9465423,-87.8972578,"Rain, Partially cloudy"
2019-04-13,AA,AA_CODESHARE,AA,5571,OH,N563NN,5571,11057,CLT,"Charlotte, NC",13244,MEM,"Memphis, TN",935,1029.0,54.0,78.0,1147.0,1214.0,2.0,1038,1216.0,98.0,0,,0,N,123,167.0,87.0,1,511,0.0,54.0,44.0,0.0,0.0,,,,,5.873563218390805,35.2107415,-80.9457435,"Rain, Partially cloudy"
2019-07-30,AA,AA,AA,569,AA,N126UW,569,14635,RSW,"Fort Myers, FL",11057,CLT,"Charlotte, NC",1941,2044.0,63.0,13.0,2057.0,2221.0,9.0,2141,2230.0,49.0,0,,0,N,120,106.0,84.0,1,600,0.0,49.0,0.0,0.0,0.0,,,,,7.142857142857143,26.5329498,-81.7588056,Rain
2018-12-28,DL,DL,DL,1063,DL,N947DN,1063,10397,ATL,"Atlanta, GA",11433,DTW,"Detroit, MI",1104,1133.0,29.0,20.0,1153.0,1313.0,5.0,1300,1318.0,18.0,0,,0,N,116,105.0,80.0,1,594,0.0,6.0,0.0,0.0,12.0,,,,,7.425,33.6377988,-84.4292712,"Rain, Overcast"
2019-04-05,WN,WN,WN,2197,WN,N442WN,2197,13204,MCO,"Orlando, FL",13296,MHT,"Manchester, NH",710,746.0,36.0,23.0,809.0,1032.0,3.0,1005,1035.0,30.0,0,,0,N,175,169.0,143.0,1,1142,0.0,30.0,0.0,0.0,0.0,,,,,7.986013986013986,28.4129036,-81.3094431,"Rain, Partially cloudy"
2019-11-26,WN,WN,WN,612,WN,N8658A,612,11292,DEN,"Denver, CO",13232,MDW,"Chicago, IL",2000,2032.0,32.0,22.0,2054.0,2340.0,5.0,2310,2345.0,35.0,0,,0,N,130,133.0,106.0,1,895,0.0,10.0,3.0,0.0,22.0,,,,,8.443396226415095,12.1341164,-68.2761506,"Rain, Partially cloudy"
2018-02-20,DL,DL,DL,1670,DL,N911DE,1670,10397,ATL,"Atlanta, GA",10994,CHS,"Charleston, SC",821,854.0,33.0,12.0,906.0,947.0,7.0,929,954.0,25.0,0,,0,N,68,60.0,41.0,1,259,0.0,25.0,0.0,0.0,0.0,,,,,6.317073170731708,33.6377988,-84.4292712,Partially cloudy
2018-11-08,AA,AA_CODESHARE,AA,4098,MQ,N678AE,4098,13930,ORD,"Chicago, IL",10599,BHM,"Birmingham, AL",1850,1920.0,30.0,16.0,1936.0,2105.0,4.0,2046,2109.0,23.0,0,,0,N,116,109.0,89.0,1,583,0.0,23.0,0.0,0.0,0.0,,,,,6.550561797752809,-17.7868996,127.6699982,Partially cloudy
2019-06-29,UA,UA_CODESHARE,UA,6236,YV,N87337,6236,10529,BDL,"Hartford, CT",12266,IAH,"Houston, TX",800,951.0,111.0,14.0,1005.0,1226.0,9.0,1054,1235.0,101.0,0,,0,N,234,224.0,201.0,1,1507,0.0,101.0,0.0,0.0,0.0,,,,,7.497512437810945,41.9405835,-72.6850199,"Rain, Partially cloudy"
2018-08-09,DL,DL,DL,2843,DL,N913DL,2843,10397,ATL,"Atlanta, GA",10868,CAE,"Columbia, SC",1958,2142.0,104.0,30.0,2212.0,2246.0,3.0,2105,2249.0,104.0,0,,0,N,67,67.0,34.0,1,192,0.0,17.0,0.0,0.0,87.0,,,,,5.647058823529412,33.6377988,-84.4292712,"Rain, Partially cloudy"
2019-03-14,DL,DL,DL,1491,DL,N371NB,1491,11292,DEN,"Denver, CO",12892,LAX,"Los Angeles, CA",1501,1931.0,270.0,20.0,1951.0,2047.0,10.0,1627,2057.0,270.0,0,,0,N,146,146.0,116.0,1,862,5.0,29.0,0.0,0.0,236.0,,,,,7.431034482758621,12.1341164,-68.2761506,"Rain, Partially cloudy"
2019-08-03,AA,AA_CODESHARE,AA,3340,MQ,N258NN,3340,11298,DFW,"Dallas/Fort Worth, TX",12992,LIT,"Little Rock, AR",1030,1058.0,28.0,17.0,1115.0,1203.0,3.0,1151,1206.0,15.0,0,,0,N,81,68.0,48.0,1,304,0.0,4.0,0.0,0.0,11.0,,,,,6.333333333333333,32.8965194,-97.0465221,"Rain, Partially cloudy"
